OccupationCode,OccupationText,,,
7320,"Potters, glass-makers and related trades",,,
7321,"Abrasive wheel formers, potters & related",,,
7322,Glassmakers,,,
7323,Glass engravers & etchers,,,
7324,"Glass, ceramics & related decorative painters",,,
7330,"Craftsmen (wood, textile, leather)",,,
7331,Handicraft workers in wood & related materials,,,
7332,"Handicraft workers in textile, leather & related",,,
7340,Printers and related trades,,,
7341,"Compositors, typesetters & related",,,
7342,Stereotypers & electrotypers,,,
7343,Printing engravers & etchers,,,
7344,Photographers,,,
7345,Bookbinders & related workers,,,
7346,"Silk-screen, block & textile printers",,,
74,Other Craft and Related Trades Workers,,,
7410,Food processing and related trades,,,
7411,"Butchers, fishmongers",,,
7412,"Bakers, pastry-cooks",,,
7413,Dairy-products makers,,,
7414,"Fruit, vegetable & related preservers",,,
7415,Food & beverage tasters & graders,,,
7416,Tobacco preparers & tobacco  products makers,,,
7420,"Wood treaters, cabinet makers",,,
7421,Wood treaters,,,
7422,Cabinet-makers & related workers,,,
7423,Woodworking-machine setters & setter-operators,,,
7424,"Basketry weavers, brush makers",,,
7430,"Textile, garment and related trades",,,
7431,Fibre preparers,,,
7432,"Weavers, knitters",,,
7433,"Tailors, dressmakers and hatters",,,
7434,Furriers & related workers,,,
7435,"Textile, leather & related pattern-makers & cutter",,,
7436,"Sewers, embroiderers and related",,,
7437,Upholsterers & related workers,,,
7440,"Pelt, leather and shoemaking trades",,,
7441,"Pelt dressers, tanners & fellmongers",,,
7442,"Shoe-makers & related workers",,,
7511,"Butchers, fishmongers and related food preparers",,,
7512,"Bakers, pastry-cooks and confectionery makers",,,
7513,Dairy-products makers,,,
7514,"Fruit, vegetable and related preservers",,,
7515,Food and beverage tasters and graders,,,
7516,Tobacco preparers and tobacco products makers,,,
7521,Wood treaters,,,
7522,Cabinet-makers and related workers,,,
7523,Woodworking-machine tool setters and operators,,,
7531,"Tailors, dressmakers, furriers and hatters",,,
7532,Garment and related pattern-makers and cutters,,,
7533,"Sewing, embroidery and related workers",,,
7534,Upholsterers and related workers,,,
7535,"Pelt dressers, tanners and fellmongers",,,
7536,Shoemakers and related workers,,,
7541,Underwater divers,,,
7542,Shotfirers and blasters,,,
7543,Product graders and testers (excluding foods and beverages),,,
7544,Fumigators and other pest and weed controllers,,,
7549,Craft and related workers not elsewhere classified,,,
81,Stationary-Plant and Related Operators,,,
8111,Mining-plant operators,,,
8112,Mineral-ore & stone-processing-plant operators,,,
8113,Well drillers,,,
8114,Cement, stone and other mineral products machine operators,,,
8121,Ore & metal furnace operators,,,
8122,"Metal melters, casters & rolling-mill operators",,,
8123,Metal-heat-treating-plant operators,,,
8124,Metal drawers & extruders,,,
8131,Glass & ceramics kiln & related machine operators,,,
8132,Photographic products machine operators,,,
8139,"Glass, ceramics & related operators not classified",,,
8141,Wood-processing-plant operators,,,
8142,Paper-pulp plant operators,,,
8143,Papermaking-plant operators,,,
8151,"Crushing-, grinding- & chemical-mixing-machinery o",,,
8152,Chemical-heat-treating-plant operators,,,
8153,Chemical-filtering- & separating-equipment operato,,,
8154,Chemical-still & reactor operators,,,
8155,Petroleum- & natural-gas-refining-plant operators,,,
8156,Shoemaking and related machine operators
8157,Laundry machine operators
8159,Chemical-processing-plant operators not classified,,,
8160,Food and related products machine operators,,,
8161,Power-production plant operators,,,
8162,Steam-engine & boiler operators,,,
8163,"Incinerator, water-treatment & related plant opera",,,
8171,Automated-assembly-line operators,,,
8172,Industrial-robot operators,,,
8181,Glass and ceramics plant operators,,,
8182,Steam engine and boiler operators,,,
8183,Packing, bottling and labelling machine operators,,,
8189,Stationary plant and machine operators not elsewhere classified,,,
82,Machine Operators and Assemblers,,,
8211,Machine-tool operators,,,
8212,Cement & other mineral products machine operators,,,
8219,Assemblers not elsewhere classified,,,
8221,Pharmaceutical- & toiletry-products mach. Operator,,,
8222,Ammunition- & explosive-products mach. Operators,,,
8223,"Metal finishing-, plating-  & coating-mach. Operat",,,
8224,Photographic-products mach. Operators,,,
8229,Chemical-products mach. Operators not classified,,,
8231,Rubber-products mach. Operators,,,
8232,Plastic-products mach. Operators,,,
8240,Wood-products mach. Operators,,,
8251,Printing-mach. Operators,,,
8252,Bookbinding-mach. Operators,,,
8253,Paper-products mach. Operators,,,
8261,Spinning machine operators,,,
8262,Weaving and knitting machine operators,,,
8263,Sewing-machine operators,,,
8264,"Bleaching-, dyeing- & cleaning-mach. Operators",,,
8265,Fur- & leather-preparing-mach. Operators,,,
8266,Shoomaking & related mach. Operators,,,
8269,"Textile-, leather-products mach. op. not classifie",,,
8271,Meat- & fish-processing-mach. Operators,,,
8272,Dairy-products mach. Operators,,,
8273,Grain- & spice-milling-mach. Operators,,,
8274,"Baked-goods, cereal & chocolate-products mach. Ope",,,
8275,"Fruit-, vegetable- & nut-processing-mach. Operator",,,
8276,Sugar production mach. Operators,,,
8277,"Tea-, coffee- & cocoa-processing-mach. Operators",,,
8278,"Brewers, wine & other beverage mach. Operators",,,
8279,Tobacco production mach. Operators,,,
8281,Mechanical-machinery assemblers,,,
8282,Electrical-equipment assemblers,,,
8283,Electronic-equipment assemblers,,,
8284,"Metal-, rubber- & plastic-products assemblers",,,
8285,Wood & related products assemblers,,,
8286,"Paperboard, textile & related products assemblers",,,
8290,Machine operators and assemblers,,,
83,Drivers and Mobile-Plant Operators,,,
8310,Locomotive engine drivers,,,
8311,Locomotive-engine drivers,,,
8312,"Railway brakers, signallers & shunters",,,
8320,Motor vehicle drivers,,,
8321,Motor-cycle drivers,,,
8322,"Car, taxi and van drivers",,,
8323,Bus and tram drivers,,,
8324,Heavy truck and lorry drivers,,,
8331,Motorised farm & forestry plant operators,,,
8332,Earth-moving- & related plant operators,,,
8333,"Crane, hoist & related plant operators",,,
8334,Lifting-truck operators,,,
8340,Ships' deck crews,,,
8341,Mobile farm and forestry plant operators,,,
8342,Earthmoving and related plant operators,,,
8343,Crane, hoist and related plant operators,,,
8344,Lifting truck operators,,,
8350,Ships' deck crews and related workers,,,
91,Sales and Services Elementary Occupations,,,
9111,Street food vendors,,,
9112,"Street vendors, non-food products",,,
9113,Door-to-door & telephone salespersons,,,
9120,Shoe cleaning and other street services,,,
9121,Hand launderers and pressers,,,
9122,Vehicle cleaners,,,
9123,Window cleaners,,,
9129,Other cleaning workers,,,
9131,Domestic helpers and cleaners,,,
9132,"Helpers and cleaners in offices, hotels",,,
9133,Hand-launderers and pressers,,,
9141,Building caretakers,,,
9142,"Vehicle, window & related cleaners",,,
9150,"Messengers, porters, doorkeepers",,,
9151,Messengers and porters,,,
9152,Doorkeepers and watchpersons,,,
9153,"Vending-machine money collectors, meter readers &",,,
9161,Garbage collectors,,,
9162,Sweepers & related labourers,,,
92,"Agricultural, Fishery and Related Laborers",,,
9211,Farm-hands & labourers,,,
9212,Forestry labourers,,,
9213,"Fishery, hunting & trapping labourers",,,
9214,Garden and horticultural labourers,...
9215,Forestry labourers,...
9216,Fishery and aquaculture labourers,...
93,"Laborers in Mining, Construction, Manufacturing an",,,
9310,Mining and construction labourers,,,
9311,Mining and quarrying labourers,,,
9312,"Construction labourers (roads, dams)",,,
9313,Building construction labourers,,,
9320,Manufacturing labourers,,,
9321,Assembling labourers,,,
9322,Hand packers & other manufacturing labourers,,,
9330,Transport labourers and frieght handlers,,,
9331,Hand or pedal vehicle drivers,,,
9332,Drivers of animal-drawn vehicles and machinery,,,
9333,Freight handlers,,,
9334,Shelf fillers,,,
9411,Fast food preparers,,,
9412,Kitchen helpers,,,
9510,Street and related service workers,,,
