EthnicityCode,EthnicityText
-,-
NON,None
U,Unknown
923,"Yukpa, Yuco-Yukpa, Carib Motilon, Coyaima"
924,"Awá, Kwaiker"
925,"Pumé, Llaruro, Yaruru, Yuap’n"
926,"U'wa, Cobar’a Tunebo, Covari, Luna, Manare, Tame"
927,Embera/Dódiba/Emperã/Atrato/Darién/Emberá
928,Tikar
929,Widekum
93,Moor
930,Moghamo
931,Bangwa
932,Bassossi
933,Bakossi
934,Bafaw
935,Balong
936,"Nyang, Bayangi"
937,"Kpe, Bakweri"
938,Bima
939,"Kemant, Qimant, Kayla"
94,Nubian
940,Dogon
941,Kariña
942,Bozo
943,"Pashayi, Pashai"
944,"Sadat, Sayyid, Sayeed, Sayid"
95,Panjabi
96,Polish
97,Timorese
98,"Urdu, Muhajir"
99,Vietnamese
COD001,"Pende, Phende"
COL001,Baniva
COL002,Curipaco
COS001,Miskito
ETH000,Achagua
ETH001,Achuar
ETH002,Afro Colombian
ETH002,Afro-Colombian
ETH004,Andoque
ETH005,Awa
ETH006,Barasana
ETH007,Bari
ETH010,Cabiyar’
ETH011,Carapana
ETH017,Coconuco
ETH024,Desano
ETH034,Inga
ETH036,Kams‡
ETH037,Kankuamo
ETH039,"Cubeo, Kobewo"
ETH040,"Kof‡n, Cofan"
ETH041,"Kaggaba, Kogi"
ETH042,"Koreguaje, Coreguaje"
ETH046,"Makuna, Macuna"
ETH048,"Cuiba, Guahibo, Amorua, Chiricoa, Masiguaje "
ETH051,Mira–a
ETH052,Muinane
ETH053,"Chibcha, Muisca"
ETH057,Ocaina
ETH058,Pacabuy
ETH059,P‡ez
ETH060,Pasto
ETH067,S‡liba
ETH069,Shuar
ETH070,Siona
ETH071,Siriano
ETH072,"Tanimuca, Retuara, Letuara"
ETH073,Tariano
ETH077,"Totoro, Totoroe"
ETH087,"Huitoto, Witoto, Murui"
ETH088,"Malayo, Wiwa"
ETH090,Yagua
ETH091,Yanacona
ETH095,"Yucuna, Yukuna, Matap’"
ETH096,"Yuko, Yupka"
ETH097,Yuri
ETH100,Lenca
ETH101,Maya Chorti
ETH102,"Tolupan, Xicaque"
ETH103,"Garifuna, Garingau"
ETH104,Nahua
ETH105,Pech
ETH106,Tawakha
UGA001,"Ganda, Baganda"
UGA002,"Nkole, Banyankole, Nyankole"
UGA003,"Gisu, Bamasaba"
VEN001,Afro Venezuelan
VEN002,Huottoja
